seq_imag,name,imag_path,json_path,gtim_path
0,aachen_000001_000019,fullImages\aachen_000001_000019_leftImg8bit.png,fullImages\aachen_000001_000019_gtFine_polygons.json,fullImages\aachen_000001_000019_gtFine_labelIds.png
1,aachen_000004_000019,fullImages\aachen_000004_000019_leftImg8bit.png,fullImages\aachen_000004_000019_gtFine_polygons.json,fullImages\aachen_000004_000019_gtFine_labelIds.png
2,aachen_000009_000019,fullImages\aachen_000009_000019_leftImg8bit.png,fullImages\aachen_000009_000019_gtFine_polygons.json,fullImages\aachen_000009_000019_gtFine_labelIds.png
3,aachen_000010_000019,fullImages\aachen_000010_000019_leftImg8bit.png,fullImages\aachen_000010_000019_gtFine_polygons.json,fullImages\aachen_000010_000019_gtFine_labelIds.png
4,aachen_000013_000019,fullImages\aachen_000013_000019_leftImg8bit.png,fullImages\aachen_000013_000019_gtFine_polygons.json,fullImages\aachen_000013_000019_gtFine_labelIds.png
5,aachen_000014_000019,fullImages\aachen_000014_000019_leftImg8bit.png,fullImages\aachen_000014_000019_gtFine_polygons.json,fullImages\aachen_000014_000019_gtFine_labelIds.png
6,aachen_000031_000019,fullImages\aachen_000031_000019_leftImg8bit.png,fullImages\aachen_000031_000019_gtFine_polygons.json,fullImages\aachen_000031_000019_gtFine_labelIds.png
7,aachen_000035_000019,fullImages\aachen_000035_000019_leftImg8bit.png,fullImages\aachen_000035_000019_gtFine_polygons.json,fullImages\aachen_000035_000019_gtFine_labelIds.png
8,aachen_000044_000019,fullImages\aachen_000044_000019_leftImg8bit.png,fullImages\aachen_000044_000019_gtFine_polygons.json,fullImages\aachen_000044_000019_gtFine_labelIds.png
9,aachen_000045_000019,fullImages\aachen_000045_000019_leftImg8bit.png,fullImages\aachen_000045_000019_gtFine_polygons.json,fullImages\aachen_000045_000019_gtFine_labelIds.png
10,aachen_000046_000019,fullImages\aachen_000046_000019_leftImg8bit.png,fullImages\aachen_000046_000019_gtFine_polygons.json,fullImages\aachen_000046_000019_gtFine_labelIds.png
11,aachen_000047_000019,fullImages\aachen_000047_000019_leftImg8bit.png,fullImages\aachen_000047_000019_gtFine_polygons.json,fullImages\aachen_000047_000019_gtFine_labelIds.png
12,aachen_000050_000019,fullImages\aachen_000050_000019_leftImg8bit.png,fullImages\aachen_000050_000019_gtFine_polygons.json,fullImages\aachen_000050_000019_gtFine_labelIds.png
13,aachen_000054_000019,fullImages\aachen_000054_000019_leftImg8bit.png,fullImages\aachen_000054_000019_gtFine_polygons.json,fullImages\aachen_000054_000019_gtFine_labelIds.png
14,aachen_000057_000019,fullImages\aachen_000057_000019_leftImg8bit.png,fullImages\aachen_000057_000019_gtFine_polygons.json,fullImages\aachen_000057_000019_gtFine_labelIds.png
15,aachen_000061_000019,fullImages\aachen_000061_000019_leftImg8bit.png,fullImages\aachen_000061_000019_gtFine_polygons.json,fullImages\aachen_000061_000019_gtFine_labelIds.png
16,aachen_000065_000019,fullImages\aachen_000065_000019_leftImg8bit.png,fullImages\aachen_000065_000019_gtFine_polygons.json,fullImages\aachen_000065_000019_gtFine_labelIds.png
17,aachen_000069_000019,fullImages\aachen_000069_000019_leftImg8bit.png,fullImages\aachen_000069_000019_gtFine_polygons.json,fullImages\aachen_000069_000019_gtFine_labelIds.png
18,aachen_000071_000019,fullImages\aachen_000071_000019_leftImg8bit.png,fullImages\aachen_000071_000019_gtFine_polygons.json,fullImages\aachen_000071_000019_gtFine_labelIds.png
19,aachen_000072_000019,fullImages\aachen_000072_000019_leftImg8bit.png,fullImages\aachen_000072_000019_gtFine_polygons.json,fullImages\aachen_000072_000019_gtFine_labelIds.png
20,aachen_000074_000019,fullImages\aachen_000074_000019_leftImg8bit.png,fullImages\aachen_000074_000019_gtFine_polygons.json,fullImages\aachen_000074_000019_gtFine_labelIds.png
21,aachen_000080_000019,fullImages\aachen_000080_000019_leftImg8bit.png,fullImages\aachen_000080_000019_gtFine_polygons.json,fullImages\aachen_000080_000019_gtFine_labelIds.png
22,aachen_000081_000019,fullImages\aachen_000081_000019_leftImg8bit.png,fullImages\aachen_000081_000019_gtFine_polygons.json,fullImages\aachen_000081_000019_gtFine_labelIds.png
23,aachen_000084_000019,fullImages\aachen_000084_000019_leftImg8bit.png,fullImages\aachen_000084_000019_gtFine_polygons.json,fullImages\aachen_000084_000019_gtFine_labelIds.png
24,aachen_000103_000019,fullImages\aachen_000103_000019_leftImg8bit.png,fullImages\aachen_000103_000019_gtFine_polygons.json,fullImages\aachen_000103_000019_gtFine_labelIds.png
